/*********************************************
* OPL 12.9.0.0 Data
* Author: Acer
* Creation Date: October 17, 2019 at 1:24:04 pm
 *********************************************/

iv=2;//the number of instances currently running
nbexam=3;//the total number of instances
Nmach=3;//the total number of machines
Njob=11;//the number of jobs
job=#[1:<[3,3,3,3,3,3,3,3,3,3,3],[16,15,8,4,16,3,15,13,19,16,13],[6,4,5,8,3,3,4,11,14,16,12]>,2:<[3,3,3,3,3,3,3,3,3,3,3],[19,10,12,15,19,1,7,11,2,14,20],[4,7,2,6,5,3,6,15,13,11,11]>,3:<[3,3,3,3,3,3,3,3,3,3,3],[16,4,18,17,18,4,20,9,1,19,1],[4,8,5,5,2,3,3,16,15,12,11]>]#;
//job=#[1:<[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3],[17,11,7,15,12,3,18,5,25,35,17,11,7,15,12,3,18,5,25,35],[4,24,14,5,7,3,13,25,15,45,4,24,14,5,7,3,13,25,15,45]>]#;




